district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
504800,AR,CROSSETT SCHOOL DISTRICT,-91.961487,33.132692,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504860,AR,CUTTER-MORNING STAR SCH. DIST.,-92.9901,34.502865,,,,,5,5,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504890,AR,DANVILLE SCHOOL DISTRICT,-93.389775,35.05276,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504930,AR,DARDANELLE SCHOOL DISTRICT,-93.160798,35.227604,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504980,AR,DECATUR SCHOOL DISTRICT,-94.44551,36.333212,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500072,AR,DEER/MT. JUDEA SCHOOL DISTRICT,-93.25801,35.902964,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500049,AR,DEQUEEN SCHOOL DISTRICT,-94.34386,34.039265,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505170,AR,DERMOTT SCHOOL DISTRICT,-91.42884,33.523561,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505190,AR,DES ARC SCHOOL DISTRICT,-91.49906,34.977007,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500001,AR,DEWITT SCHOOL DISTRICT,-91.33912,34.294257,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505340,AR,DIERKS SCHOOL DISTRICT,-94.016839,34.12181,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505410,AR,DOLLARWAY SCHOOL DISTRICT,-92.055597,34.240755,,,,,6,8,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505430,AR,DOVER SCHOOL DISTRICT,-93.110915,35.39951,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505470,AR,DREW CENTRAL SCHOOL DISTRICT,-91.80766,33.590847,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505500,AR,DUMAS SCHOOL DISTRICT,-91.485407,33.886111,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505550,AR,EARLE SCHOOL DISTRICT,-90.460325,35.26745,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505580,AR,EAST END SCHOOL DISTRICT,-92.630626,35.000459,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500048,AR,EAST POINSETT CO. SCHOOL DIST.,-90.340314,35.609441,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505680,AR,EL DORADO SCHOOL DISTRICT,-92.6652,33.213337,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505760,AR,ELKINS SCHOOL DISTRICT,-94.008734,36.005301,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500068,AR,EMERSON-TAYLOR SCHOOL DISTRICT,-93.19501,33.09728,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505850,AR,ENGLAND SCHOOL DISTRICT,-91.956375,34.542884,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
505970,AR,EUREKA SPRINGS SCHOOL DISTRICT,-93.732138,36.381916,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506090,AR,FARMINGTON SCHOOL DISTRICT,-94.247305,36.03873,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506120,AR,FAYETTEVILLE SCHOOL DISTRICT,-94.174022,36.059559,,,,,6,22,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506150,AR,FLIPPIN SCHOOL DISTRICT,-92.597757,36.279553,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506210,AR,FORDYCE SCHOOL DISTRICT,-92.412635,33.811265,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506240,AR,FOREMAN SCHOOL DISTRICT,-94.39578,33.721085,,6,,0,5,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506270,AR,FORREST CITY SCHOOL DISTRICT,-90.788534,35.01648,,20,,6,6,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506330,AR,FORT SMITH SCHOOL DISTRICT,-94.421095,35.384465,,102,,21,25,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506360,AR,FOUKE SCHOOL DISTRICT,-93.88934,33.26092,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506420,AR,FOUNTAIN LAKE SCHOOL DISTRICT,-92.988761,34.572908,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
504110,AR,GENOA CENTRAL SCHOOL DISTRICT,-93.873116,33.373445,,,,,7,13,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506540,AR,GENTRY SCHOOL DISTRICT,-94.48619,36.265982,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
506630,AR,GLEN ROSE SCHOOL DISTRICT,-92.731077,34.456812,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500029,AR,GOSNELL SCHOOL DISTRICT,-89.966559,35.961106,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
